id,cos similarity,reused_nodes,multiple_output_functions,largest_information_function,global_code_volume,Label
s34,0.915135382,1,0,8,5,6
s33,0.950281635,0,0,11,5,3
s5,0.905419291,0,0,8,5,4
s2,0.900375134,0,1,8,5,0
s32,0.979877472,0,0,17,5,3
s35,0.924849129,0,0,9,5,6
s3,0.900375134,0,1,8,5,5
s4,0.88792218,0,3,9,5,5
s44,0.905419291,0,0,8,5,3
s43,0.950281635,0,0,11,5,6
s26,0.825998939,0,3,13,11,4
s19,0.977398716,1,0,14,5,3
s21,0.390776463,1,0,12,45,1
s17,0.905419291,0,0,8,5,4
s28,0.905419291,0,0,8,5,4
s10,0.900375134,0,1,8,5,5
s42,0.915135382,1,0,8,5,4
s11,0.905419291,0,0,8,5,4
s16,0.988152057,0,0,24,5,3
s29,0.859688814,0,0,9,7,5
s20,0.900375134,0,1,8,5,6
s27,0.974176374,0,0,15,5,3
s18,0.924849129,0,0,9,5,6
s8,0.989306742,0,0,27,5,0
s1,0.920517259,0,1,9,5,3
s6,0.947043869,0,1,11,5,4
s39,0.185133557,0,0,11,238,6
s30,0.900375134,0,1,8,5,3
s37,0.939336437,0,0,10,5,6
s7,0.970188226,0,0,14,5,3
s9,0.966569219,1,0,12,5,3
s36,0.900375134,0,1,8,5,3
s31,0.989735849,0,0,29,5,0
s38,0.924849129,0,0,9,5,5
s22,0.924849129,0,0,9,5,5
s25,0.900375134,0,1,8,5,3
s13,0.900375134,0,1,8,5,5
s14,0.271364638,1,0,6,45,2
s40,0.950281635,0,0,11,5,6
s15,0.905419291,0,0,8,5,2
s12,0.924849129,0,0,9,5,5
s24,0.915135382,1,0,8,5,6
s23,0.939336437,0,0,10,5,5
s41,0.939336437,0,0,10,5,6
solution,1,1,0,7,1,6
